day,Colombia,Italy,Spain,Peru,Ecuador,Argentina,Chile,Venezuela,Brazil,Mexico
186,671848.0,248229,302814,689977.0,115457.0,461882.0,418469.0,62655.0,3846153.0,599560.0
187,679513.0,248419,305767,691575.0,116360.0,471806.0,420434.0,63416.0,3862311.0,606036.0
188,686851.0,248803,309855,696190.0,117175.0,478792.0,422510.0,64284.0,3908272.0,610957.0
189,694664.0,249204,314362,702776.0,118045.0,488007.0,424274.0,65174.0,3950931.0,616894.0
190,702088.0,249756,314362,710067.0,118045.0,500034.0,425541.0,65949.0,3997865.0,623090.0
191,708964.0,250103,314362,716670.0,110092.0,512293.0,427027.0,66656.0,4041638.0,629409.0
192,716319.0,250566,322980,722832.0,110757.0,524198.0,428669.0,67443.0,4091801.0,634023.0
193,721892.0,250825,326612,729619.0,112166.0,535705.0,430535.0,68453.0,4123000.0,637509.0
194,728590.0,251237,329784,733860.0,113206.0,546481.0,432666.0,69439.0,4137521.0,642860.0
195,736377.0,251713,337334,738020.0,114732.0,555537.0,434748.0,70406.0,4147794.0,647321.0
196,743945.0,252235,342813,744400.0,116451.0,565446.0,436433.0,71273.0,4162073.0,652364.0
197,750471.0,252809,342813,750098.0,118594.0,577338.0,437983.0,71940.0,4197889.0,658299.0
198,758398.0,253438,342813,756412.0,118911.0,589012.0,439287.0,72691.0,4238446.0,663973.0
199,765076.0,253915,359082,762865.0,119553.0,601713.0,441150.0,73528.0,4282164.0,668381.0
200,770435.0,254235,364196,768895.0,121525.0,613658.0,442827.0,74363.0,4315687.0,671716.0
201,777537.0,254636,370867,768895.0,122257.0,622934.0,444674.0,75122.0,4330455.0,676487.0
202,784268.0,255278,377906,776546.0,124129.0,631365.0,446274.0,76029.0,4345610.0,680931.0
203,790823.0,256118,386054,782695.0,125620.0,640147.0,447468.0,76820.0,4382263.0,684113.0
204,798317.0,257065,386054,794584.0,126419.0,652174.0,448523.0,77646.0,4419083.0,688954.0
205,806038.0,258136,386054,794584.0,126711.0,664799.0,449903.0,78434.0,4455386.0,694121.0
206,813056.0,259345,405436,800142.0,127643.0,678266.0,451634.0,79117.0,4495183.0,697663.0
207,818203.0,260298,412553,805302.0,129892.0,691235.0,453868.0,79796.0,4528240.0,700580.0
208,824042.0,261174,419849,808714.0,131146.0,702484.0,455979.0,80404.0,4544629.0,705263.0
209,829679.0,262540,429507,811768.0,132475.0,711325.0,457901.0,81019.0,4558040.0,710049.0
210,835339.0,263949,439286,814829.0,133981.0,723132.0,459671.0,81696.0,4591364.0,715457.0
211,841532.0,265409,439286,818297.0,134747.0,736609.0,461300.0,82453.0,4591364.0,720858.0
212,848147.0,266853,439286,821564.0,134965.0,751001.0,462991.0,83137.0,4657702.0,726431.0
213,855052.0,268218,462858,821564.0,135749.0,765002.0,464750.0,83756.0,4689613.0,730317.0
214,862158.0,269214,470973,828169.0,137047.0,779689.0,466590.0,84391.0,4717991.0,733717.0
215,869808.0,270189,479554,829999.0,138584.0,790818.0,468471.0,85005.0,4732309.0,738163.0
216,877684.0,271515,488513,832929.0,139534.0,798486.0,470179.0,85469.0,4745464.0,743216.0
217,886179.0,272912,498989,835662.0,140351.0,809728.0,471746.0,85758.0,4777522.0,748315.0
218,894300.0,274644,498989,838614.0,141034.0,824468.0,473306.0,86289.0,4810935.0,753090.0
219,902747.0,276338,498989,846088.0,141339.0,840915.0,474440.0,86636.0,4847092.0,757953.0
220,911316.0,277634,525549,849371.0,142056.0,856369.0,476016.0,86636.0,4847092.0,761665.0
221,919084.0,278784,534513,851171.0,143531.0,871468.0,477769.0,87644.0,4906833.0,789780.0
222,924098.0,280153,543379,853974.0,145045.0,883882.0,479595.0,88035.0,4915289.0,794608.0
223,930159.0,281583,554143,853974.0,145848.0,894206.0,481371.0,88416.0,4927235.0,799188.0
224,936982.0,283180,566326,859740.0,146828.0,903730.0,482832.0,88718.0,4969141.0,804488.0
225,945354.0,284796,566326,859740.0,147033.0,917035.0,484280.0,89142.0,5000694.0,810020.0
226,952371.0,286297,566326,862417.0,147315.0,931967.0,485372.0,89565.0,5028444.0,814328.0
227,959572.0,287753,593730,865549.0,148171.0,949063.0,486496.0,90047.0,5055888.0,817503.0
228,965883.0,288761,603167,868675.0,149083.0,965609.0,488190.0,90400.0,5082637.0,821045.0
229,974139.0,289990,614360,870876.0,150360.0,979119.0,490003.0,90876.0,5094979.0,825340.0
230,981700.0,291442,625651,874118.0,151659.0,989680.0,491760.0,91280.0,5103408.0,829396.0
231,990373.0,293025,640040,879876.0,152422.0,1002662.0,493305.0,91589.0,5113628.0,834910.0
232,998942.0,294932,640040,879876.0,153289.0,1018999.0,494478.0,92013.0,5140863.0,841661.0
233,1007711.0,296569,640040,883116.0,153423.0,1037325.0,495637.0,92325.0,5169386.0,847108.0
234,1015885.0,298156,671468,888715.0,154115.0,1053650.0,497131.0,92705.0,5200300.0,851227.0
235,1025052.0,299506,682267,888715.0,155625.0,1069368.0,498906.0,93100.0,5224362.0,854926.0
236,1033218.0,300897,693556,890574.0,156451.0,1081336.0,500542.0,93480.0,5224362.0,860714.0
237,1041935.0,302537,704209,892497.0,158270.0,1090589.0,502063.0,93921.0,5250727.0,867559.0
238,1053122.0,304323,716481,894928.0,159614.0,1102301.0,503598.0,94305.0,5273954.0,874171.0
239,1063151.0,306235,716481,897594.0,161635.0,1116609.0,504525.0,94698.0,5298772.0,880775.0
240,1074184.0,308104,716481,900180.0,162178.0,1130533.0,505530.0,94883.0,5323630.0,886800.0
241,1083321.0,309870,748266,902503.0,163192.0,1143800.0,507050.0,95149.0,5353656.0,891160.0
242,1093256.0,311364,748266,902503.0,164908.0,1157179.0,508571.0,95445.0,5380635.0,895326.0
243,1099392.0,313011,769188,902503.0,166302.0,1166924.0,510256.0,95750.0,5394128.0,901268.0
244,1108086.0,314861,778607,911787.0,167147.0,1173533.0,511864.0,96140.0,5409854.0,906863.0
245,1117977.0,317409,789932,914722.0,168192.0,1183131.0,513140.0,96441.0,5439641.0,912811.0
246,1127733.0,319908,789932,914722.0,169194.0,1195276.0,514202.0,96933.0,5468270.0,918811.0
247,1136447.0,322751,789932,917503.0,169562.0,1205928.0,515042.0,97352.0,5494376.0,924962.0
248,1143887.0,325329,813412,920010.0,170110.0,1217028.0,516582.0,97739.0,5516658.0,929392.0
249,1149064.0,327586,825410,922333.0,171433.0,1228814.0,518390.0,98050.0,5535605.0,933155.0
250,1155356.0,330263,835901,923527.0,171783.0,1236851.0,519977.0,98350.0,5545705.0,938405.0
251,1165326.0,333940,848324,925431.0,172508.0,1242182.0,521558.0,98665.0,5554206.0,943630.0
252,1174012.0,338398,861112,928006.0,173486.0,1250499.0,522879.0,99017.0,5566049.0,949197.0
253,1182697.0,343770,861112,930237.0,174907.0,1262476.0,523907.0,99435.0,5590025.0,955128.0
254,1191634.0,349494,861112,932650.0,175269.0,1273356.0,524804.0,99835.0,5590025.0,961938.0
255,1198746.0,354950,888968,934899.0,175711.0,1284519.0,526438.0,100143.0,5631181.0,967825.0
256,1205217.0,359569,896086,937011.0,176630.0,1296378.0,528030.0,100498.0,5653561.0,972785.0
257,1211128.0,365467,908056,938268.0,177513.0,1304846.0,529676.0,100817.0,5664115.0,978531.0
258,1218003.0,372799,921374,939931.0,178674.0,1310491.0,531273.0,101215.0,5675032.0,986177.0
259,1225490.0,381602,936560,939931.0,179627.0,1318384.0,532604.0,101524.0,5699005.0,991835.0
260,1233444.0,391611,936560,943917.0,180295.0,1329005.0,533610.0,101760.0,5747660.0,997393.0
261,1240493.0,402536,936560,948081.0,180676.0,1339337.0,534558.0,102040.0,5781582.0,1003253.0
262,1248417.0,414241,974449,948081.0,181104.0,1349434.0,536012.0,102394.0,5810652.0,1006522.0
263,1254979.0,423578,988322,949670.0,182250.0,1359042.0,537585.0,102621.0,5848959.0,1009396.0
264,1262494.0,434449,1005295,950557.0,183246.0,1366182.0,539143.0,103067.0,5863093.0,1011153.0
265,1270991.0,449648,1026281,952439.0,183840.0,1370366.0,540640.0,103548.0,5876464.0,1015071.0
266,1280487.0,465726,1046132,952439.0,184876.0,1374631.0,542080.0,103877.0,5911758.0,1019543.0
267,1290510.0,484869,1046132,956347.0,185643.0,1381795.0,543087.0,104177.0,5945849.0,1025969.0
268,1299613.0,504509,1046132,960368.0,185944.0,1390388.0,544092.0,104442.0,5981767.0,1032688.0
269,1308376.0,525782,1098320,962530.0,186436.0,1399431.0,545662.0,104904.0,6020164.0,1041875.0
270,1316806.0,542789,1116738,962530.0,187230.0,1407277.0,547243.0,105384.0,6052786.0,1049358.0
271,1324792.0,564778,1136503,963605.0,188138.0,1413375.0,548941.0,105852.0,6071401.0,1060152.0
272,1334089.0,589766,1160083,963605.0,189534.0,1418807.0,550430.0,106280.0,6087608.0,1070487.0
273,1343322.0,616595,1185678,967075.0,190909.0,1424533.0,551743.0,106715.0,6118708.0,1078594.0
274,1352607.0,647674,1185678,967075.0,192117.0,1432570.0,552864.0,107177.0,6166606.0,1078594.0
